Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Total greenhouse gas emissions (% change from 1990) [EN.ATM.GHGT.ZG],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Total reserves (% of total external debt) [FI.RES.TOTL.DT.ZS]
1990,YR1990,Afghanistan,AFG,1.852781994,0.458057347,23,62.34137832
1990,YR1990,Australia,AUS,17.42735899,0.458057347,8.01,62.34137832
1990,YR1990,Canada,CAN,38.84551156,0.458057347,22.53,62.34137832
1990,YR1990,China,CHN,16.73800655,0.458057347,33.91,62.34137832
1990,YR1990,India,IND,21.50484833,0.458057347,52.95,6.753736085
1990,YR1990,Ireland,IRL,6.701117724,0.458057347,2.28,6.753736085
1990,YR1990,Iraq,IRQ,1.838260512,0.458057347,1.6,6.753736085
1990,YR1990,Malaysia,MYS,62.75604931,0.458057347,8.42,6.753736085
2001,YR2001,Afghanistan,AFG,1.852781994,0.458057347,45.6,6.753736085
2001,YR2001,Australia,AUS,17.12863335,157.4166419,8.37,6.753736085
2001,YR2001,Canada,CAN,38.78763071,18.04701282,21.53,6.753736085
2001,YR2001,China,CHN,19.10496812,32.18471457,28.36,119.3913938
2001,YR2001,India,IND,22.7975676,35.19092885,47.11,49.29728141
2001,YR2001,Ireland,IRL,9.280911598,6.969477789,1.97,49.29728141
2001,YR2001,Iraq,IRQ,1.871870499,33.0213393,0.35,49.29728141
2001,YR2001,Malaysia,MYS,59.70774616,-11.26616245,4.26,49.29728141
2002,YR2002,Afghanistan,AFG,1.852781994,10.49425182,37.83,49.29728141
2002,YR2002,Australia,AUS,17.09911094,131.6927321,8.74,49.29728141
2002,YR2002,Canada,CAN,38.78227958,49.28676573,21.77,49.29728141
2002,YR2002,China,CHN,19.3564539,40.6465907,27,160.5360997
2002,YR2002,India,IND,22.86164019,38.19616575,45.75,67.71967149
2002,YR2002,Ireland,IRL,9.411583684,5.354257824,2.25,67.71967149
2002,YR2002,Iraq,IRQ,1.873470974,28.85826009,0.31,67.71967149
2002,YR2002,Malaysia,MYS,59.48138792,0.70292292,3.57,67.71967149
2003,YR2003,Afghanistan,AFG,1.852781994,17.41590538,36.66,67.71967149
2003,YR2003,Australia,AUS,17.06958853,112.2478268,7.15,67.71967149
2003,YR2003,Canada,CAN,38.77692846,56.29973467,21.18,67.71967149
2003,YR2003,China,CHN,19.60793869,59.96614779,23.86,200.8873439
2003,YR2003,India,IND,22.92571279,42.45994632,45.63,87.25872698
2003,YR2003,Ireland,IRL,9.54225577,5.015527911,2.01,87.25872698
2003,YR2003,Iraq,IRQ,1.87507145,7.935036034,0.35,87.25872698
2003,YR2003,Malaysia,MYS,59.25502968,-1.611805615,3.33,87.25872698
2004,YR2004,Afghanistan,AFG,1.852781994,16.97281848,44.24,87.25872698
2004,YR2004,Australia,AUS,17.04006613,137.2689185,6.68,87.25872698
2004,YR2004,Canada,CAN,38.77157733,70.88260266,21.58,87.25872698
2004,YR2004,China,CHN,19.85942287,82.82137879,20.17,251.8396412
2004,YR2004,India,IND,22.98978538,50.66868304,44.92,106.459372
2004,YR2004,Ireland,IRL,9.672927856,4.859247824,2.31,106.459372
2004,YR2004,Iraq,IRQ,1.876671925,25.59132177,0.36,106.459372
2004,YR2004,Malaysia,MYS,59.02867144,8.911015971,3.22,106.459372
2005,YR2005,Afghanistan,AFG,1.852781994,17.89786755,33.88,106.459372
2005,YR2005,Australia,AUS,17.01054372,88.52691408,6.71,106.459372
2005,YR2005,Canada,CAN,38.7662262,39.61223621,21.26,106.459372
2005,YR2005,China,CHN,20.11090813,100.4671666,17.44,290.8480507
2005,YR2005,India,IND,23.05385798,52.62387195,44.16,113.7210975
2005,YR2005,Ireland,IRL,9.803599942,6.857733411,2.89,113.7210975
2005,YR2005,Iraq,IRQ,1.878272401,24.77835097,2.43,113.7210975
2005,YR2005,Malaysia,MYS,58.80231319,24.20977107,3.01,113.7210975
2006,YR2006,Afghanistan,AFG,1.852781994,18.52761688,31.89,113.7210975
2006,YR2006,Australia,AUS,16.98102131,132.1451658,6.85,113.7210975
2006,YR2006,Canada,CAN,38.76087508,47.0255633,21.18,113.7210975
2006,YR2006,China,CHN,20.36239278,120.2443062,16.39,331.0940728
2006,YR2006,India,IND,23.11793057,60.93451502,43.16,111.6121052
2006,YR2006,Ireland,IRL,9.934272028,9.026941537,3.23,111.6121052
2006,YR2006,Iraq,IRQ,1.879872877,29.67567884,2.56,111.6121052
2006,YR2006,Malaysia,MYS,58.57595495,21.04253799,3.13,111.6121052
2007,YR2007,Afghanistan,AFG,1.852781994,21.90782954,28.78,111.6121052
2007,YR2007,Australia,AUS,16.9514989,120.9470682,6.95,111.6121052
2007,YR2007,Canada,CAN,38.75552395,46.55640438,21.26,111.6121052
2007,YR2007,China,CHN,20.61387789,134.3901334,14.88,409.3628405
2007,YR2007,India,IND,23.18200317,71.69238453,41.54,135.5392705
2007,YR2007,Ireland,IRL,10.06494411,6.785030988,3.55,135.5392705
2007,YR2007,Iraq,IRQ,1.881473352,30.25245818,2,135.5392705
2007,YR2007,Malaysia,MYS,58.34959671,26.23181109,2.85,135.5392705
2008,YR2008,Afghanistan,AFG,1.852781994,22.03668154,21.17,141.900322
2008,YR2008,Australia,AUS,16.92197649,85.07826802,6.79,141.900322
2008,YR2008,Canada,CAN,38.75017283,49.32617035,21.3,141.900322
2008,YR2008,China,CHN,20.86536169,157.4585442,14.14,508.7784465
2008,YR2008,India,IND,23.24607576,75.7794302,39.38,113.3462732
2008,YR2008,Ireland,IRL,10.1956162,6.93703286,4.19,113.3462732
2008,YR2008,Iraq,IRQ,1.883073828,38.05550393,1.15,113.3462732
2008,YR2008,Malaysia,MYS,58.12323847,29.29101373,3.04,113.3462732
2009,YR2009,Afghanistan,AFG,1.852781994,24.15716007,16.53,171.9967932
2009,YR2009,Australia,AUS,16.89245408,129.1460126,7.15,171.9967932
2009,YR2009,Canada,CAN,38.7448217,23.19404191,21.94,171.9967932
2009,YR2009,China,CHN,21.11684505,172.7498305,13.43,539.6969718
2009,YR2009,India,IND,23.31014836,87.01835222,37.41,111.0687833
2009,YR2009,Ireland,IRL,10.32628829,0.045558274,5.3,111.0687833
2009,YR2009,Iraq,IRQ,1.897909376,38.60889519,1.21,111.0687833
2009,YR2009,Malaysia,MYS,57.89688023,39.97825982,2.27,111.0687833
2010,YR2010,Afghanistan,AFG,1.852781994,42.01234411,15.15,211.9363509
2010,YR2010,Australia,AUS,16.86293167,62.16162359,8.16,211.9363509
2010,YR2010,Canada,CAN,38.73947058,25.53910073,21.13,211.9363509
2010,YR2010,China,CHN,21.36832885,187.3039783,12.26,392.2936172
2010,YR2010,India,IND,23.37422095,99.76308558,36.16,103.4613192
2010,YR2010,Ireland,IRL,10.45696037,0.012280561,5.29,103.4613192
2010,YR2010,Iraq,IRQ,1.89952109,47.1002002,1.67,103.4613192
2010,YR2010,Malaysia,MYS,57.67052199,32.7757395,1.96,103.4613192
2011,YR2011,Afghanistan,AFG,1.852781994,43.5287644,12.61,255.2835756
2011,YR2011,Australia,AUS,16.95531026,62.92721991,8.32,255.2835756
2011,YR2011,Canada,CAN,38.73486407,69.78929693,21.17,255.2835756
2011,YR2011,China,CHN,21.57462737,209.9220846,11.34,308.7312199
2011,YR2011,India,IND,23.46382169,103.8996171,35.01,89.33615126
2011,YR2011,Ireland,IRL,10.55651038,-6.579566353,6.96,89.33615126
2011,YR2011,Iraq,IRQ,1.89952109,51.65961664,1.14,89.33615126
2011,YR2011,Malaysia,MYS,57.98497641,36.87606211,2.16,89.33615126
2012,YR2012,Afghanistan,AFG,1.852781994,36.87606211,15.36,277.1540762
2012,YR2012,Australia,AUS,17.04768884,57.92847163,8.3,277.1540762
2012,YR2012,Canada,CAN,38.73025757,68.73487187,21.44,277.1540762
2012,YR2012,China,CHN,21.78092589,219.9524772,11.53,295.0372843
2012,YR2012,India,IND,23.55342242,116.4448552,34.75,76.52670538
2012,YR2012,Ireland,IRL,10.65606039,-4.803331492,6.9,76.52670538
2012,YR2012,Iraq,IRQ,1.89952109,55.73750806,1.3,76.52670538
2012,YR2012,Malaysia,MYS,58.29943083,40.54171965,2.52,76.52670538
2013,YR2013,Afghanistan,AFG,1.852781994,40.54171965,16.86,281.6590952
2013,YR2013,Australia,AUS,17.14006743,40.54171965,9.22,281.6590952
2013,YR2013,Canada,CAN,38.72565107,40.54171965,21.84,281.6590952
2013,YR2013,China,CHN,21.9872244,40.54171965,11.47,262.1026302
2013,YR2013,India,IND,23.64302315,40.54171965,34.86,69.77083946
2013,YR2013,Ireland,IRL,10.75561039,40.54171965,7.71,69.77083946
2013,YR2013,Iraq,IRQ,1.900361184,40.54171965,1.46,69.77083946
2013,YR2013,Malaysia,MYS,58.61388525,40.54171965,2.75,69.77083946
2014,YR2014,Afghanistan,AFG,1.852781994,40.54171965,18.93,297.5869891
2014,YR2014,Australia,AUS,17.23244601,40.54171965,9.33,297.5869891
2014,YR2014,Canada,CAN,38.72104457,40.54171965,21.83,297.5869891
2014,YR2014,China,CHN,22.19352292,40.54171965,11.91,219.3028525
2014,YR2014,India,IND,23.73262388,40.54171965,33.85,71.05481325
2014,YR2014,Ireland,IRL,10.8551604,57.92847163,8.78,71.05481325
2014,YR2014,Iraq,IRQ,1.900361184,57.92847163,1,71.05481325
2014,YR2014,Malaysia,MYS,58.92833967,57.92847163,3.03,71.05481325
2015,YR2015,Afghanistan,AFG,1.852781994,57.92847163,17.53,268.6633974
2015,YR2015,Australia,AUS,17.3248246,57.92847163,9.32,268.6633974
2015,YR2015,Canada,CAN,38.71643807,57.92847163,21.83,268.6633974
2015,YR2015,China,CHN,22.39982144,57.92847163,12.18,255.3105822
2015,YR2015,India,IND,23.82222461,57.92847163,33.4,73.78784031
2015,YR2015,Ireland,IRL,10.95471041,57.92847163,9.52,73.78784031
2015,YR2015,Iraq,IRQ,1.900361184,57.92847163,0.82,282.1547895
2015,YR2015,Malaysia,MYS,59.2427941,57.92847163,3.41,282.1547895
2016,YR2016,Afghanistan,AFG,1.852781994,57.92847163,19.92,280.499616
2016,YR2016,Australia,AUS,17.42548771,57.92847163,9.36,280.499616
